Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category
45,M,3,High School,Married,$60K - $80K
49,F,5,Graduate,Single,Less than $40K
51,M,3,Graduate,Married,$80K - $120K
40,M,3,Uneducated,Married,$60K - $80K
44,M,2,Graduate,Married,$40K - $60K
51,M,4,Graduate,Married,$120K +
37,M,3,Uneducated,Single,$60K - $80K
48,M,2,Graduate,Single,$80K - $120K
65,M,1,Graduate,Married,$40K - $60K
56,M,1,College,Single,$80K - $120K
57,F,2,Graduate,Married,Less than $40K
48,M,4,Post-Graduate,Single,$80K - $120K
41,M,3,Graduate,Married,$80K - $120K
61,M,1,High School,Married,$40K - $60K
45,F,2,Graduate,Married,$80K - $120K
47,M,1,Doctorate,Divorced,$60K - $80K
62,F,0,Graduate,Married,Less than $40K
41,M,3,High School,Married,$40K - $60K
47,F,4,Graduate,Single,Less than $40K
54,M,2,Graduate,Married,$80K - $120K
41,F,3,Graduate,Single,Less than $40K
63,M,1,Graduate,Married,$60K - $80K
44,F,3,Uneducated,Single,$80K - $120K
47,M,4,High School,Married,$40K - $60K
53,M,3,Graduate,Married,$80K - $120K
53,M,2,Uneducated,Married,$60K - $80K
41,M,4,Graduate,Married,$60K - $80K
53,F,2,College,Married,Less than $40K
58,M,0,Graduate,Married,$80K - $120K
55,F,1,College,Single,Less than $40K
55,F,3,Graduate,Married,Less than $40K
42,F,4,High School,Married,Less than $40K
66,F,0,Doctorate,Married,$80K - $120K
45,M,3,Graduate,Single,$80K - $120K
51,M,2,Graduate,Married,$40K - $60K
50,F,1,College,Single,$40K - $60K
49,M,3,High School,Married,$60K - $80K
38,F,4,Graduate,Single,$80K - $120K
49,M,4,Uneducated,Single,$80K - $120K
56,M,2,Doctorate,Married,$60K - $80K
59,M,1,Doctorate,Married,$40K - $60K
46,M,3,High School,Married,$80K - $120K
52,M,1,College,Single,$80K - $120K
52,F,3,Graduate,Married,Less than $40K
54,F,1,Graduate,Married,Less than $40K
66,F,0,High School,Married,Less than $40K
49,M,2,Graduate,Married,$120K +
56,M,2,Graduate,Married,$120K +
49,F,3,Graduate,Single,Less than $40K
56,M,2,Uneducated,Married,$40K - $60K
44,F,5,Graduate,Married,$80K - $120K
42,M,2,High School,Single,$60K - $80K
55,M,3,Graduate,Married,$80K - $120K
48,M,2,Graduate,Married,$60K - $80K
